id,name,dob,email,age
88,Hugo Harrison,2005-05-05,mbalazin@gmail.com,16
89,Skyla Koch,2005-11-15,jtorkbob@optonline.net,16
90,Libby Mcneil,2006-05-04,eabrown@yahoo.com,15
91,Greta Cisneros,2006-07-21,kannan@yahoo.com,15
92,Susan Hutchinson,2008-08-01,iamcal@sbcglobal.net,13
93,Kailee Hodge,2008-10-23,studyabr@yahoo.com,13
94,Scott Ferguson,2008-12-04,kmself@me.com,13
95,Arjun Avery,2010-03-12,arjun@gmail.com,12
96,Kathleen Rush,2010-06-15,raines@icloud.com,11
97,Jose Rollins,2012-03-28,jespley@live.com,10
98,Aarav Reed,2012-10-25,peterhoeg@yahoo.ca,9
99,Bradley Crane,2014-01-20,gboss@mac.com,8
100,Moshe Wheeler,2015-04-06,stomv@sbcglobal.net,7
101,Joe Moreno,2015-08-13,kramulous@aol.com,6
